Points_0,Points_1,Points_2,U_0,U_1,U_2,p
0.5,0,0.05,0,0,0,0.0378404
0.5,0.02,0.05,-0.121209,-0.000405223,0,0.0375375
0.5,0.04,0.05,-0.208129,-0.00416617,0,0.0364007
0.5,0.06,0.05,-0.27926,-0.00870177,0,0.03387
0.5,0.08,0.05,-0.335464,-0.0120852,0,0.029601
0.5,0.1,0.05,-0.369307,-0.0138301,0,0.0236729
0.5,0.12,0.05,-0.374247,-0.0140942,0,0.0166069
0.5,0.14,0.05,-0.360418,-0.0136841,0,0.00940077
0.5,0.16,0.05,-0.33778,-0.0130753,0,0.00256996
0.5,0.18,0.05,-0.313952,-0.0124019,0,-0.00370612
0.5,0.2,0.05,-0.292306,-0.0116123,0,-0.0094563
0.5,0.5,0.05,-0.03729,0.0156637,0,-0.0553252
0.5,0.9,0.05,0.365992,0.0317403,0,-0.0180048
0.5,0.91,0.05,0.375815,0.0305755,0,-0.0166407
0.5,0.92,0.05,0.384723,0.0292241,0,-0.0153427
0.5,0.93,0.05,0.391803,0.0274998,0,-0.0141768
0.5,0.94,0.05,0.399134,0.0253875,0,-0.013157
0.5,0.95,0.05,0.406588,0.0230812,0,-0.0122102
0.5,0.96,0.05,0.433054,0.0192482,0,-0.0115483
0.5,0.97,0.05,0.485392,0.0148801,0,-0.0109457
0.5,0.98,0.05,0.589476,0.00944165,0,-0.0104615
0.5,0.99,0.05,0.774502,0.0045773,0,-0.0101188
0.5,1,0.05,1,0,0,-0.00984681
