Points_0,Points_1,Points_2,U_0,U_1,U_2,p
0.5,0,0.05,0,0,0,-0.00127173
0.5,0.02,0.05,-0.0972384,0.00297842,0,-0.00179568
0.5,0.04,0.05,-0.179734,0.0050202,0,-0.00276675
0.5,0.06,0.05,-0.232746,0.00518868,0,-0.00463207
0.5,0.08,0.05,-0.269729,0.00492761,0,-0.00761103
0.5,0.1,0.05,-0.298698,0.00445177,0,-0.0111468
0.5,0.12,0.05,-0.302432,0.00453643,0,-0.0158722
0.5,0.14,0.05,-0.299571,0.00474764,0,-0.0206146
0.5,0.16,0.05,-0.283521,0.00521198,0,-0.0253912
0.5,0.18,0.05,-0.263661,0.00523246,0,-0.0297149
0.5,0.2,0.05,-0.241896,0.00503101,0,-0.0338123
0.5,0.5,0.05,-0.0320688,0.016791,0,-0.0625306
0.5,0.9,0.05,0.307689,0.0315997,0,-0.0399433
0.5,0.91,0.05,0.315904,0.0302481,0,-0.0390796
0.5,0.92,0.05,0.324119,0.0288966,0,-0.0382159
0.5,0.93,0.05,0.332334,0.0275451,0,-0.0373522
0.5,0.94,0.05,0.355364,0.0250749,0,-0.0366893
0.5,0.95,0.05,0.385801,0.0220455,0,-0.0361266
0.5,0.96,0.05,0.416238,0.0190161,0,-0.035564
0.5,0.97,0.05,0.492877,0.0152968,0,-0.0351273
0.5,0.98,0.05,0.661918,0.0101979,0,-0.0349424
0.5,0.99,0.05,0.830959,0.00509893,0,-0.0347575
0.5,1,0.05,1,0,0,-0.0345726
