# Region            : all region0
# Cells             : 16384
# Volume            : 3.947841760211e+00
# Time              	sum(error_velocity_mag_squ)
0.00375             	5.772545070676e-04
0.0075              	5.772545070676e-04
0.01125             	5.772545070676e-04
0.015               	5.772545070676e-04
0.01875             	5.772545070676e-04
0.0225              	5.772545070676e-04
0.02625             	5.772545070676e-04
0.03                	5.772545070676e-04
0.03375             	5.772545070676e-04
0.0375              	5.772545070676e-04
0.04125             	5.772545070676e-04
0.045               	5.772545070676e-04
0.04875             	5.772545070676e-04
0.0525              	5.772545070676e-04
0.05625             	5.772545070676e-04
0.06                	5.772545070676e-04
0.06375             	5.772545070676e-04
0.0675              	5.772545070676e-04
0.07125             	5.772545070676e-04
0.075               	5.772545070676e-04
0.07875             	5.772545070676e-04
0.0825              	5.772545070676e-04
0.08625             	5.772545070676e-04
0.09                	5.772545070676e-04
0.09375             	5.772545070676e-04
0.0975              	5.772545070676e-04
0.10125             	5.772545070676e-04
0.105               	5.772545070676e-04
0.10875             	5.772545070676e-04
0.1125              	5.772545070676e-04
0.11625             	5.772545070676e-04
0.12                	5.772545070676e-04
0.12375             	5.772545070676e-04
0.1275              	5.772545070676e-04
0.13125             	5.772545070676e-04
0.135               	5.772545070676e-04
0.13875             	5.772545070676e-04
0.1425              	5.772545070676e-04
0.14625             	5.772545070676e-04
0.15                	5.772545070676e-04
0.15375             	5.772545070676e-04
0.1575              	5.772545070676e-04
0.16125             	5.772545070676e-04
0.165               	5.772545070676e-04
0.16875             	5.772545070676e-04
0.1725              	5.772545070676e-04
0.17625             	5.772545070676e-04
0.18                	5.772545070676e-04
0.18375             	5.772545070676e-04
0.1875              	5.772545070676e-04
0.19125             	5.772545070676e-04
0.195               	5.772545070676e-04
0.19875             	5.772545070676e-04
0.2025              	5.772545070676e-04
0.20625             	5.772545070676e-04
0.21                	5.772545070676e-04
0.21375             	5.772545070676e-04
0.2175              	5.772545070676e-04
0.22125             	5.772545070676e-04
0.225               	5.772545070676e-04
0.22875             	5.772545070676e-04
0.2325              	5.772545070676e-04
0.23625             	5.772545070676e-04
0.24                	5.772545070676e-04
0.24375             	5.772545070676e-04
0.2475              	5.772545070676e-04
0.25125             	5.772545070676e-04
0.255               	5.772545070676e-04
0.25875             	5.772545070676e-04
0.2625              	5.772545070676e-04
0.26625             	5.772545070676e-04
0.27                	5.772545070676e-04
0.27375             	5.772545070676e-04
0.2775              	5.772545070676e-04
0.28125             	5.772545070676e-04
0.285               	5.772545070676e-04
0.28875             	5.772545070676e-04
0.2925              	5.772545070676e-04
0.29625             	5.772545070676e-04
0.3                 	5.772545070676e-04
