Points_0,Points_1,Points_2,U_0,U_1,U_2,p
0.5,0,0.05,0,0,0,-0.00473167
0.5,0.02,0.05,-0.132693,0.00287348,0,-0.00498862
0.5,0.04,0.05,-0.222578,0.00260379,0,-0.00605673
0.5,0.06,0.05,-0.289127,0.000568341,0,-0.00844762
0.5,0.08,0.05,-0.337883,-0.00114833,0,-0.0125349
0.5,0.1,0.05,-0.363968,-0.00190237,0,-0.0181994
0.5,0.12,0.05,-0.368003,-0.0020402,0,-0.0247322
0.5,0.14,0.05,-0.354786,-0.00196533,0,-0.0314728
0.5,0.16,0.05,-0.332295,-0.00196643,0,-0.0378602
0.5,0.18,0.05,-0.309068,-0.0020625,0,-0.0437599
0.5,0.2,0.05,-0.287829,-0.00210369,0,-0.0492112
0.5,0.5,0.05,-0.0358015,0.0146651,0,-0.0926805
0.5,0.9,0.05,0.363066,0.0322257,0,-0.0566751
0.5,0.91,0.05,0.372291,0.031063,0,-0.0552825
0.5,0.92,0.05,0.379966,0.0296766,0,-0.0539797
0.5,0.93,0.05,0.385211,0.0279201,0,-0.0528405
0.5,0.94,0.05,0.390355,0.0258613,0,-0.0518013
0.5,0.95,0.05,0.396879,0.0231516,0,-0.0509489
0.5,0.96,0.05,0.423111,0.0193504,0,-0.0502631
0.5,0.97,0.05,0.468915,0.0148551,0,-0.0496758
0.5,0.98,0.05,0.589009,0.00897376,0,-0.0492478
0.5,0.99,0.05,0.770592,0.00409643,0,-0.0489608
0.5,1,0.05,1,0,0,-0.0487835
