# Region            : all region0
# Cells             : 16384
# Volume            : 3.947841760211e+00
# Time              	max(error_pres)
0.00375             	9.392524672220e-04
0.0075              	9.392524672220e-04
0.01125             	9.392524672220e-04
0.015               	9.392524672220e-04
0.01875             	9.392524672220e-04
0.0225              	9.392524672220e-04
0.02625             	9.392524672220e-04
0.03                	9.392524672220e-04
0.03375             	9.392524672220e-04
0.0375              	9.392524672220e-04
0.04125             	9.392524672220e-04
0.045               	9.392524672220e-04
0.04875             	9.392524672220e-04
0.0525              	9.392524672220e-04
0.05625             	9.392524672220e-04
0.06                	9.392524672220e-04
0.06375             	9.392524672220e-04
0.0675              	9.392524672220e-04
0.07125             	9.392524672220e-04
0.075               	9.392524672220e-04
0.07875             	9.392524672220e-04
0.0825              	9.392524672220e-04
0.08625             	9.392524672220e-04
0.09                	9.392524672220e-04
0.09375             	9.392524672220e-04
0.0975              	9.392524672220e-04
0.10125             	9.392524672220e-04
0.105               	9.392524672220e-04
0.10875             	9.392524672220e-04
0.1125              	9.392524672220e-04
0.11625             	9.392524672220e-04
0.12                	9.392524672220e-04
0.12375             	9.392524672220e-04
0.1275              	9.392524672220e-04
0.13125             	9.392524672220e-04
0.135               	9.392524672220e-04
0.13875             	9.392524672220e-04
0.1425              	9.392524672220e-04
0.14625             	9.392524672220e-04
0.15                	9.392524672220e-04
0.15375             	9.392524672220e-04
0.1575              	9.392524672220e-04
0.16125             	9.392524672220e-04
0.165               	9.392524672220e-04
0.16875             	9.392524672220e-04
0.1725              	9.392524672220e-04
0.17625             	9.392524672220e-04
0.18                	9.392524672220e-04
0.18375             	9.392524672220e-04
0.1875              	9.392524672220e-04
0.19125             	9.392524672220e-04
0.195               	9.392524672220e-04
0.19875             	9.392524672220e-04
0.2025              	9.392524672220e-04
0.20625             	9.392524672220e-04
0.21                	9.392524672220e-04
0.21375             	9.392524672220e-04
0.2175              	9.392524672220e-04
0.22125             	9.392524672220e-04
0.225               	9.392524672220e-04
0.22875             	9.392524672220e-04
0.2325              	9.392524672220e-04
0.23625             	9.392524672220e-04
0.24                	9.392524672220e-04
0.24375             	9.392524672220e-04
0.2475              	9.392524672220e-04
0.25125             	9.392524672220e-04
0.255               	9.392524672220e-04
0.25875             	9.392524672220e-04
0.2625              	9.392524672220e-04
0.26625             	9.392524672220e-04
0.27                	9.392524672220e-04
0.27375             	9.392524672220e-04
0.2775              	9.392524672220e-04
0.28125             	9.392524672220e-04
0.285               	9.392524672220e-04
0.28875             	9.392524672220e-04
0.2925              	9.392524672220e-04
0.29625             	9.392524672220e-04
0.3                 	9.392524672220e-04
