Points_0,Points_1,Points_2,U_0,U_1,U_2,p
0.5,0,0.05,0,0,0,0.0377233
0.5,0.02,0.05,-0.123863,-0.000105509,0,0.0374147
0.5,0.04,0.05,-0.211859,-0.00356897,0,0.036249
0.5,0.06,0.05,-0.283022,-0.00785274,0,0.0336651
0.5,0.08,0.05,-0.338594,-0.0110204,0,0.0293297
0.5,0.1,0.05,-0.371369,-0.0126221,0,0.0233454
0.5,0.12,0.05,-0.375162,-0.012847,0,0.0162543
0.5,0.14,0.05,-0.36052,-0.0124889,0,0.00905345
0.5,0.16,0.05,-0.337506,-0.0119713,0,0.00224319
0.5,0.18,0.05,-0.313604,-0.0113943,0,-0.00401003
0.5,0.2,0.05,-0.291993,-0.0106914,0,-0.00974223
0.5,0.5,0.05,-0.0364358,0.0157115,0,-0.0553697
0.5,0.9,0.05,0.366068,0.0317205,0,-0.0178991
0.5,0.91,0.05,0.375886,0.030556,0,-0.0165346
0.5,0.92,0.05,0.384813,0.0292127,0,-0.0152364
0.5,0.93,0.05,0.391957,0.0275117,0,-0.014071
0.5,0.94,0.05,0.399281,0.0253938,0,-0.0130516
0.5,0.95,0.05,0.406695,0.0230675,0,-0.0121052
0.5,0.96,0.05,0.433272,0.0192768,0,-0.011441
0.5,0.97,0.05,0.485688,0.014916,0,-0.0108383
0.5,0.98,0.05,0.589778,0.00941503,0,-0.0103588
0.5,0.99,0.05,0.774685,0.00454882,0,-0.0100125
0.5,1,0.05,1,0,0,-0.00973287
