# Region            : all region0
# Cells             : 16384
# Volume            : 3.947841760211e+00
# Time              	max(error_pres)
0.015               	9.394015322990e-04
0.03                	9.394015322990e-04
0.045               	9.394015322990e-04
0.06                	9.394015322990e-04
0.075               	9.394015322990e-04
0.09                	9.394015322990e-04
0.105               	9.394015322990e-04
0.12                	9.394015322990e-04
0.135               	9.394015322990e-04
0.15                	9.394015322990e-04
0.165               	9.394015322990e-04
0.18                	9.394015322990e-04
0.195               	9.394015322990e-04
0.21                	9.394015322990e-04
0.225               	9.394015322990e-04
0.24                	9.394015322990e-04
0.255               	9.394015322990e-04
0.27                	9.394015322990e-04
0.285               	9.394015322990e-04
0.3                 	9.394015322990e-04
