# Region            : all region0
# Cells             : 16384
# Volume            : 3.947841760211e+00
# Time              	max(error_velocity_mag)
0.03                	1.659217393520e-03
0.06                	1.659217393520e-03
0.09                	1.659217393520e-03
0.12                	1.659217393520e-03
0.15                	1.659217393520e-03
0.18                	1.659217393520e-03
0.21                	1.659217393520e-03
0.24                	1.659217393520e-03
0.27                	1.659217393520e-03
0.3                 	1.659217393520e-03
