# Region            : all region0
# Cells             : 16384
# Volume            : 3.947841760211e+00
# Time              	max(error_pres)
0.03                	3.060644180970e-02
0.06                	3.060644180970e-02
0.09                	3.060644180970e-02
0.12                	3.060644180970e-02
0.15                	3.060644180970e-02
0.18                	3.060644180970e-02
0.21                	3.060644180970e-02
0.24                	3.060644180970e-02
0.27                	3.060644180970e-02
0.3                 	3.060644180970e-02
