# Region            : all region0
# Cells             : 16384
# Volume            : 3.947841760211e+00
# Time              	max(error_pres)
0.00375             	3.853758834300e-03
0.0075              	3.853758834300e-03
0.01125             	3.853758834300e-03
0.015               	3.853758834300e-03
0.01875             	3.853758834300e-03
0.0225              	3.853758834300e-03
0.02625             	3.853758834300e-03
0.03                	3.853758834300e-03
0.03375             	3.853758834300e-03
0.0375              	3.853758834300e-03
0.04125             	3.853758834300e-03
0.045               	3.853758834300e-03
0.04875             	3.853758834300e-03
0.0525              	3.853758834300e-03
0.05625             	3.853758834300e-03
0.06                	3.853758834300e-03
0.06375             	3.853758834300e-03
0.0675              	3.853758834300e-03
0.07125             	3.853758834300e-03
0.075               	3.853758834300e-03
0.07875             	3.853758834300e-03
0.0825              	3.853758834300e-03
0.08625             	3.853758834300e-03
0.09                	3.853758834300e-03
0.09375             	3.853758834300e-03
0.0975              	3.853758834300e-03
0.10125             	3.853758834300e-03
0.105               	3.853758834300e-03
0.10875             	3.853758834300e-03
0.1125              	3.853758834300e-03
0.11625             	3.853758834300e-03
0.12                	3.853758834300e-03
0.12375             	3.853758834300e-03
0.1275              	3.853758834300e-03
0.13125             	3.853758834300e-03
0.135               	3.853758834300e-03
0.13875             	3.853758834300e-03
0.1425              	3.853758834300e-03
0.14625             	3.853758834300e-03
0.15                	3.853758834300e-03
0.15375             	3.853758834300e-03
0.1575              	3.853758834300e-03
0.16125             	3.853758834300e-03
0.165               	3.853758834300e-03
0.16875             	3.853758834300e-03
0.1725              	3.853758834300e-03
0.17625             	3.853758834300e-03
0.18                	3.853758834300e-03
0.18375             	3.853758834300e-03
0.1875              	3.853758834300e-03
0.19125             	3.853758834300e-03
0.195               	3.853758834300e-03
0.19875             	3.853758834300e-03
0.2025              	3.853758834300e-03
0.20625             	3.853758834300e-03
0.21                	3.853758834300e-03
0.21375             	3.853758834300e-03
0.2175              	3.853758834300e-03
0.22125             	3.853758834300e-03
0.225               	3.853758834300e-03
0.22875             	3.853758834300e-03
0.2325              	3.853758834300e-03
0.23625             	3.853758834300e-03
0.24                	3.853758834300e-03
0.24375             	3.853758834300e-03
0.2475              	3.853758834300e-03
0.25125             	3.853758834300e-03
0.255               	3.853758834300e-03
0.25875             	3.853758834300e-03
0.2625              	3.853758834300e-03
0.26625             	3.853758834300e-03
0.27                	3.853758834300e-03
0.27375             	3.853758834300e-03
0.2775              	3.853758834300e-03
0.28125             	3.853758834300e-03
0.285               	3.853758834300e-03
0.28875             	3.853758834300e-03
0.2925              	3.853758834300e-03
0.29625             	3.853758834300e-03
0.3                 	3.853758834300e-03
