# Region            : all region0
# Cells             : 16384
# Volume            : 3.947841760211e+00
# Time              	max(error_pres)
0.015               	9.025795881000e-04
0.03                	9.025795881000e-04
0.045               	9.025795881000e-04
0.06                	9.025795881000e-04
0.075               	9.025795881000e-04
0.09                	9.025795881000e-04
0.105               	9.025795881000e-04
0.12                	9.025795881000e-04
0.135               	9.025795881000e-04
0.15                	9.025795881000e-04
0.165               	9.025795881000e-04
0.18                	9.025795881000e-04
0.195               	9.025795881000e-04
0.21                	9.025795881000e-04
0.225               	9.025795881000e-04
0.24                	9.025795881000e-04
0.255               	9.025795881000e-04
0.27                	9.025795881000e-04
0.285               	9.025795881000e-04
0.3                 	9.025795881000e-04
