U values for timestep: 0.015625
Time: 0, U: 0.009900990099009901
Time: 0.015625, U: 0.02518780222
Time: 0.03125, U: 0.03986092798
Time: 0.046875, U: 0.05356286499
Time: 0.0625, U: 0.06595977333
Time: 0.078125, U: 0.07674960938
Time: 0.09375, U: 0.08566948488
Time: 0.109375, U: 0.09250207215
Time: 0.125, U: 0.09708089907
Time: 0.140625, U: 0.09929440511
Time: 0.15625, U: 0.09908865945
Time: 0.171875, U: 0.09646867498
Time: 0.1875, U: 0.09149828612
Time: 0.203125, U: 0.08429859357
Time: 0.21875, U: 0.07504501376
Time: 0.234375, U: 0.0639630049
Time: 0.25, U: 0.05132257385
Time: 0.265625, U: 0.03743169753
Time: 0.28125, U: 0.02262881925
Time: 0.296875, U: 0.007274602746
Time: 0.3125, U: -0.008256855219
Time: 0.328125, U: -0.02358713949
Time: 0.34375, U: -0.03834273639
Time: 0.359375, U: -0.05216413419
Time: 0.375, U: -0.06471458236
Time: 0.390625, U: -0.07568829638
Time: 0.40625, U: -0.08481790791
Time: 0.421875, U: -0.09188097918
Time: 0.4375, U: -0.09670542244
Time: 0.453125, U: -0.09917369289
Time: 0.46875, U: -0.09922565252
Time: 0.484375, U: -0.09686003535
Time: 0.5, U: -0.09213447832
Time: 0.515625, U: -0.08516411694
Time: 0.53125, U: -0.0761187801
Time: 0.546875, U: -0.06521885232
Time: 0.5625, U: -0.05272990413
Time: 0.578125, U: -0.03895622168
Time: 0.59375, U: -0.02423339292
Time: 0.609375, U: -0.008920131214
Time: 0.625, U: 0.006610464498
Time: 0.640625, U: 0.02198000007
Time: 0.65625, U: 0.0368140055
Time: 0.671875, U: 0.05075105865
Time: 0.6875, U: 0.06345159113
Time: 0.703125, U: 0.07460616169
Time: 0.71875, U: 0.08394299554
Time: 0.734375, U: 0.09123460602
Time: 0.75, U: 0.09630333718
Time: 0.765625, U: 0.09902569226
Time: 0.78125, U: 0.09933534263
Time: 0.796875, U: 0.09722474382
Time: 0.8125, U: 0.09274531939
Time: 0.828125, U: 0.08600620795
Time: 0.84375, U: 0.07717160414
Time: 0.859375, U: 0.06645675806
Time: 0.875, U: 0.05412273086
Time: 0.890625, U: 0.0404700341
Time: 0.90625, U: 0.02583130799
Time: 0.921875, U: 0.01056321678
Time: 0.9375, U: -0.004962241156
Time: 0.953125, U: -0.02036679685
Time: 0.96875, U: -0.03527512704
Time: 0.984375, U: -0.04932399872
Time: 1, U: -0.06217111913
