U values for timestep: 0.0078125
Time: 0, U: 0.009900990099009901
Time: 0.0078125, U: 0.01759807245
Time: 0.015625, U: 0.02518779932
Time: 0.0234375, U: 0.03262387024
Time: 0.03125, U: 0.03986092211
Time: 0.0390625, U: 0.04685480595
Time: 0.046875, U: 0.05356285617
Time: 0.0546875, U: 0.05994415092
Time: 0.0625, U: 0.06595976166
Time: 0.0703125, U: 0.07157299069
Time: 0.078125, U: 0.076749595
Time: 0.0859375, U: 0.08145799517
Time: 0.09375, U: 0.08566946803
Time: 0.1015625, U: 0.08935832185
Time: 0.109375, U: 0.09250205311
Time: 0.1171875, U: 0.09508148375
Time: 0.125, U: 0.09708087818
Time: 0.1328125, U: 0.09848803928
Time: 0.140625, U: 0.09929438277
Time: 0.1484375, U: 0.09949498964
Time: 0.15625, U: 0.09908863609
Time: 0.1640625, U: 0.09807780106
Time: 0.171875, U: 0.09646865105
Time: 0.1796875, U: 0.09427100254
Time: 0.1875, U: 0.09149826209
Time: 0.1953125, U: 0.08816734457
Time: 0.203125, U: 0.08429856993
Time: 0.2109375, U: 0.07991553929
Time: 0.21875, U: 0.07504499096
Time: 0.2265625, U: 0.06971663727
Time: 0.234375, U: 0.06396298339
Time: 0.2421875, U: 0.05781912897
Time: 0.25, U: 0.05132255405
Time: 0.2578125, U: 0.04451289041
Time: 0.265625, U: 0.03743167981
Time: 0.2734375, U: 0.03012212055
Time: 0.28125, U: 0.02262880396
Time: 0.2890625, U: 0.01499744234
Time: 0.296875, U: 0.007274590142
Time: 0.3046875, U: -0.0004926400461
Time: 0.3125, U: -0.008256864925
Time: 0.3203125, U: -0.01597071953
Time: 0.328125, U: -0.02358714616
Time: 0.3359375, U: -0.03105968148
Time: 0.34375, U: -0.03834273996
Time: 0.3515625, U: -0.04539189193
Time: 0.359375, U: -0.05216413466
Time: 0.3671875, U: -0.05861815468
Time: 0.375, U: -0.06471457982
Time: 0.3828125, U: -0.07041621937
Time: 0.390625, U: -0.07568829097
Time: 0.3984375, U: -0.08049863283
Time: 0.40625, U: -0.08481789987
Time: 0.4140625, U: -0.08861974279
Time: 0.421875, U: -0.09188096878
Time: 0.4296875, U: -0.09458168302
Time: 0.4375, U: -0.09670541004
Time: 0.4453125, U: -0.09823919422
Time: 0.453125, U: -0.09917367886
Time: 0.4609375, U: -0.09950316322
Time: 0.46875, U: -0.09922563729
Time: 0.4765625, U: -0.09834279411
Time: 0.484375, U: -0.09686001939
Time: 0.4921875, U: -0.09478635865
Time: 0.5, U: -0.09213446208
Time: 0.5078125, U: -0.08892050735
Time: 0.515625, U: -0.08516410091
Time: 0.5234375, U: -0.08088815837
Time: 0.53125, U: -0.07611876475
Time: 0.5390625, U: -0.07088501531
Time: 0.546875, U: -0.06521883808
Time: 0.5546875, U: -0.05915479909
Time: 0.5625, U: -0.05272989145
Time: 0.5703125, U: -0.04598330976
Time: 0.578125, U: -0.03895621094
Time: 0.5859375, U: -0.03169146318
Time: 0.59375, U: -0.02423338445
Time: 0.6015625, U: -0.01662747209
Time: 0.609375, U: -0.008920125302
Time: 0.6171875, U: -0.001158362075
Time: 0.625, U: 0.00661046764
Time: 0.6328125, U: 0.01433897078
Time: 0.640625, U: 0.02198000029
Time: 0.6484375, U: 0.02948694276
Time: 0.65625, U: 0.03681400272
Time: 0.6640625, U: 0.04391648211
Time: 0.671875, U: 0.05075105288
Time: 0.6796875, U: 0.05727602132
Time: 0.6875, U: 0.06345158244
Time: 0.6953125, U: 0.06924006278
Time: 0.703125, U: 0.07460615022
Time: 0.7109375, U: 0.07951710942
Time: 0.71875, U: 0.0839429815
Time: 0.7265625, U: 0.08785676683
Time: 0.734375, U: 0.09123458969
Time: 0.7421875, U: 0.09405584399
Time: 0.75, U: 0.0963033189
Time: 0.7578125, U: 0.0979633039
Time: 0.765625, U: 0.09902567241
Time: 0.7734375, U: 0.09948394353
Time: 0.78125, U: 0.09933532162
Time: 0.7890625, U: 0.09858071334
Time: 0.796875, U: 0.09722472212
Time: 0.8046875, U: 0.09527562004
Time: 0.8125, U: 0.09274529745
Time: 0.8203125, U: 0.08964919034
Time: 0.828125, U: 0.08600618626
Time: 0.8359375, U: 0.08183850901
Time: 0.84375, U: 0.07717158316
Time: 0.8515625, U: 0.07203387887
Time: 0.859375, U: 0.06645673825
Time: 0.8671875, U: 0.06047418416
Time: 0.875, U: 0.05412271264
Time: 0.8828125, U: 0.04744107028
Time: 0.890625, U: 0.04047001786
Time: 0.8984375, U: 0.03325208166
Time: 0.90625, U: 0.02583129407
Time: 0.9140625, U: 0.01825292495
Time: 0.921875, U: 0.01056320547
Time: 0.9296875, U: 0.002809046086
Time: 0.9375, U: -0.004962249634
Time: 0.9453125, U: -0.01270327359
Time: 0.953125, U: -0.02036680234
Time: 0.9609375, U: -0.02790608521
Time: 0.96875, U: -0.03527512946
Time: 0.9765625, U: -0.0424289809
Time: 0.984375, U: -0.04932399808
Time: 0.9921875, U: -0.05591811855
Time: 1, U: -0.06217111547
