U values for timestep: 0.03125
Time: 0, U: 0.009900990099009901
Time: 0.03125, U: 0.03986102208
Time: 0.0625, U: 0.06595996068
Time: 0.09375, U: 0.08566975533
Time: 0.125, U: 0.09708123416
Time: 0.15625, U: 0.09908903426
Time: 0.1875, U: 0.09149867162
Time: 0.21875, U: 0.07504537967
Time: 0.25, U: 0.05132289156
Time: 0.28125, U: 0.02262906463
Time: 0.3125, U: -0.008256699514
Time: 0.34375, U: -0.03834267921
Time: 0.375, U: -0.06471462321
Time: 0.40625, U: -0.08481803698
Time: 0.4375, U: -0.09670562155
Time: 0.46875, U: -0.09922589688
Time: 0.5, U: -0.09213473894
Time: 0.53125, U: -0.07611902657
Time: 0.5625, U: -0.05273010756
Time: 0.59375, U: -0.02423352876
Time: 0.625, U: 0.006610414105
Time: 0.65625, U: 0.03681404999
Time: 0.6875, U: 0.06345173063
Time: 0.71875, U: 0.08394322081
Time: 0.75, U: 0.09630363054
Time: 0.78125, U: 0.0993356797
Time: 0.8125, U: 0.09274567141
Time: 0.84375, U: 0.0771719408
Time: 0.875, U: 0.05412302321
Time: 0.90625, U: 0.02583153125
Time: 0.9375, U: -0.004962105156
Time: 0.96875, U: -0.03527508814
Time: 1, U: -0.06217117787
