# Region            : all region0
# Cells             : 16384
# Volume            : 3.947841760211e+00
# Time              	max(error_velocity_mag)
0.00375             	6.402915367640e-06
0.0075              	6.402915367640e-06
0.01125             	6.402915367640e-06
0.015               	6.402915367640e-06
0.01875             	6.402915367640e-06
0.0225              	6.402915367640e-06
0.02625             	6.402915367640e-06
0.03                	6.402915367640e-06
0.03375             	6.402915367640e-06
0.0375              	6.402915367640e-06
0.04125             	6.402915367640e-06
0.045               	6.402915367640e-06
0.04875             	6.402915367640e-06
0.0525              	6.402915367640e-06
0.05625             	6.402915367640e-06
0.06                	6.402915367640e-06
0.06375             	6.402915367640e-06
0.0675              	6.402915367640e-06
0.07125             	6.402915367640e-06
0.075               	6.402915367640e-06
0.07875             	6.402915367640e-06
0.0825              	6.402915367640e-06
0.08625             	6.402915367640e-06
0.09                	6.402915367640e-06
0.09375             	6.402915367640e-06
0.0975              	6.402915367640e-06
0.10125             	6.402915367640e-06
0.105               	6.402915367640e-06
0.10875             	6.402915367640e-06
0.1125              	6.402915367640e-06
0.11625             	6.402915367640e-06
0.12                	6.402915367640e-06
0.12375             	6.402915367640e-06
0.1275              	6.402915367640e-06
0.13125             	6.402915367640e-06
0.135               	6.402915367640e-06
0.13875             	6.402915367640e-06
0.1425              	6.402915367640e-06
0.14625             	6.402915367640e-06
0.15                	6.402915367640e-06
0.15375             	6.402915367640e-06
0.1575              	6.402915367640e-06
0.16125             	6.402915367640e-06
0.165               	6.402915367640e-06
0.16875             	6.402915367640e-06
0.1725              	6.402915367640e-06
0.17625             	6.402915367640e-06
0.18                	6.402915367640e-06
0.18375             	6.402915367640e-06
0.1875              	6.402915367640e-06
0.19125             	6.402915367640e-06
0.195               	6.402915367640e-06
0.19875             	6.402915367640e-06
0.2025              	6.402915367640e-06
0.20625             	6.402915367640e-06
0.21                	6.402915367640e-06
0.21375             	6.402915367640e-06
0.2175              	6.402915367640e-06
0.22125             	6.402915367640e-06
0.225               	6.402915367640e-06
0.22875             	6.402915367640e-06
0.2325              	6.402915367640e-06
0.23625             	6.402915367640e-06
0.24                	6.402915367640e-06
0.24375             	6.402915367640e-06
0.2475              	6.402915367640e-06
0.25125             	6.402915367640e-06
0.255               	6.402915367640e-06
0.25875             	6.402915367640e-06
0.2625              	6.402915367640e-06
0.26625             	6.402915367640e-06
0.27                	6.402915367640e-06
0.27375             	6.402915367640e-06
0.2775              	6.402915367640e-06
0.28125             	6.402915367640e-06
0.285               	6.402915367640e-06
0.28875             	6.402915367640e-06
0.2925              	6.402915367640e-06
0.29625             	6.402915367640e-06
0.3                 	6.402915367640e-06
